Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
67b4ae70d9b5bf74054659ab16ee9d61a6fba31efe03060bcd156070d2f6b67e,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
7ef1cb098df536f1463ceeecc705acc26a4b992a000a9abbedbc682de10c6470,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.994260,52.178688,On or near JUBILEE AVENUE,E01030079,Mid Suffolk 008C,Investigation complete; no suspect identified
dbb6b9d595db1d602033b9ce4ad5c12c5d464fc41199977b3a089bc9e852fe6d,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.184542,52.040132,On or near HENSTEAD GARDENS,E01029983,Ipswich 016F,Investigation complete; no suspect identified
c09fd2dccb48a86da72fb9292377b76079027d0f5f6d44e0e20453be2e573d31,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.059415,51.956938,On or near Sports/Recreation Area,E01029870,Babergh 010A,Investigation complete; no suspect identified
30ff51556b625f0e580a4ebdab4dd8219503ea9dc51b8c04fdede0a700fc3881,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.145714,52.060620,On or near Supermarket,E01030024,Ipswich 006C,Investigation complete; no suspect identified
5a6e539741d532e648b4feca8081597b5ee4b158f696dde6fa4e0672a35ac5fa,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.488424,52.371087,On or near HOLLY WALK,E01032524,Forest Heath 003G,Investigation complete; no suspect identified
e90ef843ef0ceed4535e73df89b5647a74cfffd10f0c6bee9aa120908b0bf335,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.809373,52.249580,On or near Petrol Station,E01030085,Mid Suffolk 004E,Investigation complete; no suspect identified
189d0cd2c7ee2ae8e1738752ae67322968eaf1e6f34ba1fe22975986ee6256eb,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.571080,52.452842,On or near INGATE,E01030223,Waveney 010A,Investigation complete; no suspect identified
0b0a9469eb52a79e6b571c4e5d0467520b0fee8a40d286b7ee14a161239891f0,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.750747,52.207373,On or near RAYNSFORD ROAD,E01030119,St Edmundsbury 008C,Investigation complete; no suspect identified
2ba8fd4d52cbd21970cc5d960ccbc64b57daaaf22c4d131ce00e6cab0db0e8e1,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.097294,52.075691,On or near Supermarket,E01030044,Mid Suffolk 012B,Investigation complete; no suspect identified
0fa1aa2024a1e9e723f1c4d7b0ddf4bc56233ce4e770ff43fd7bc704d17b03e4,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.150916,52.061138,On or near UPPER HIGH STREET,E01030025,Ipswich 006D,Investigation complete; no suspect identified
814406fe13ec4a17770a9f31e653599e4faf7f4382d83552f4ac14c3f2944857,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.523416,52.143827,On or near SANDY LANE,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
805a0b5a514b0bcd5a5c5cfc8a9d5034528acdcd98cdc3515f19b5f8eed1b42b,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.138035,52.079901,On or near Supermarket,E01029975,Ipswich 002C,Investigation complete; no suspect identified
957c654da3173f82ae57dad18799ca81bfcf05a0c628cc82290e4f3ec60c21da,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.192841,52.026632,On or near FEN BIGHT CIRCLE,E01033127,Ipswich 014E,Investigation complete; no suspect identified
23ade9833f4406b428a3ebb7168135352a0c5b3b71bc926d8559cb02c42fc6df,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.483988,52.219601,On or near KINGFISHER RISE,E01030210,Suffolk Coastal 003D,Investigation complete; no suspect identified
b0090725975d1c9014d80646d6708d7731657aea584a2a2b36915e3da52989cc,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.153387,52.056035,On or near FALCON STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
7b12e568ea9c40e64f3628dfd3b2d1105327c83848074607d8f57228815b296e,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.741726,52.465442,On or near RICHMOND PLACE,E01030256,Waveney 007C,Investigation complete; no suspect identified
e53ca1ae80e976c0a7a44f3db27bbc895c12edee24011b9fffc01ba4ee9133b5,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.151735,52.039836,On or near WHERSTEAD ROAD,E01029969,Ipswich 012B,Investigation complete; no suspect identified
