Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bebbbb75f0deef0dfd684f96801ac99b3bf19d719ce1e88b48a92df8455760da,2019-07,South Wales Police,South Wales Police,-3.658858,51.609023,On or near TALBOT STREET,W01001014,Bridgend 002A,Investigation complete; no suspect identified
ac147c79704910d8c5b8dff40257fd2c016e6928c5fd418c51c1c126809adf77,2019-07,South Wales Police,South Wales Police,-3.242220,51.411620,On or near EDMUND PLACE,W01001071,The Vale of Glamorgan 009D,Investigation complete; no suspect identified
9d9fa728930499d337cb94866d3341efb81a6b735ff84e76d78af1ca3a8b0890,2019-07,South Wales Police,South Wales Police,-3.170679,51.492979,On or near Supermarket,W01001829,Cardiff 033A,Investigation complete; no suspect identified
4f652200def37cae82dc3f78c822b0801750544c78c6b1b46fb05ccf94469556,2019-07,South Wales Police,South Wales Police,-3.190713,51.514987,On or near HEATHWOOD ROAD,W01001769,Cardiff 018A,Investigation complete; no suspect identified
454c8b2d3da2ca86041fdfa2a2d220240c388ad487c164e65da92a3006873b61,2019-07,South Wales Police,South Wales Police,-3.131103,51.539271,On or near Petrol Station,W01001842,Cardiff 003B,Investigation complete; no suspect identified
3f51023f0e5c1c22ecb8a63a245eda34552ba2fb012e2f1a9e84671542f0ce66,2019-07,South Wales Police,South Wales Police,-3.689077,51.528624,On or near Parking Area,W01001050,Bridgend 008D,Investigation complete; no suspect identified
8523c3e90cb3705cb20634a5ed3e9ba5278f5e96af47352b2fc0ae65e9b5c6b4,2019-07,South Wales Police,South Wales Police,-3.142285,51.534945,On or near CLOS CWM CREUNANT,W01001842,Cardiff 003B,Investigation complete; no suspect identified
423f209253c39b5c7956fdd24cbd0dc1a20f3d5e694a95c993af1e7a0ffc8954,2019-07,South Wales Police,South Wales Police,-3.377435,51.741651,On or near A4054,W01001318,Merthyr Tydfil 005D,Investigation complete; no suspect identified
1291c7e1ac7cfbadacb5bc520df6233406c77e769560ced97f2d0c2960a5659f,2019-07,South Wales Police,South Wales Police,-3.140333,51.486831,On or near MONA PLACE,W01001871,Cardiff 037B,Investigation complete; no suspect identified
ef5456db796574614efec0224a378cae8b408f9d4049d20d222c0cf9ccc8ab10,2019-07,South Wales Police,South Wales Police,-3.179561,51.479366,On or near PLAS YR NEUADD,W01001941,Cardiff 032G,Investigation complete; no suspect identified
7ef5e60b36f6b963138969a1ab19d8d65d43efff6297e0db8e9c04c25ae075b8,2019-07,South Wales Police,South Wales Police,-3.175166,51.483169,On or near Nightclub,W01001939,Cardiff 032F,Investigation complete; no suspect identified
358d0ea308e516e7cd3e6820e99e7a6499f6cbe3116caef48d422bfbdbf789f0,2019-07,South Wales Police,South Wales Police,-3.158461,51.490610,On or near PRINCES AVENUE,W01001833,Cardiff 033D,Investigation complete; no suspect identified
