Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Vehicle search,2017-07-03T10:01:00+00:00,,,53.871431,-2.389603,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Vehicle search,2017-07-03T14:01:00+00:00,,,53.565063,-2.869072,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2017-07-03T15:51:00+00:00,,,53.758340,-2.703709,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,False
Person and Vehicle search,2017-07-03T22:35:00+00:00,,,54.041372,-2.895626,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2017-07-04T04:40:00+00:00,,,53.782470,-2.267322,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,True
Person and Vehicle search,2017-07-04T12:55:00+00:00,,,53.586913,-2.766796,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person and Vehicle search,2017-07-04T12:55:00+00:00,,,53.586913,-2.766796,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person and Vehicle search,2017-07-04T12:55:00+00:00,,,53.586913,-2.766796,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2017-07-04T15:00:00+00:00,,,54.031279,-2.793211,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,False,False
Person search,2017-07-04T15:00:00+00:00,,,54.031279,-2.793211,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,False,False
Person search,2017-07-04T15:00:00+00:00,,,54.031279,-2.793211,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2017-07-04T18:30:00+00:00,,,53.768793,-2.677151,Male,18-24,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person and Vehicle search,2017-07-04T22:57:00+00:00,,,53.740621,-2.485104,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2017-07-04T22:57:00+00:00,,,53.740621,-2.485104,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2017-07-05T00:35:00+00:00,,,53.721276,-2.288407,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person and Vehicle search,2017-07-05T11:20:00+00:00,,,53.784072,-2.711561,Male,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2017-07-05T11:20:00+00:00,,,53.784072,-2.711561,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2017-07-05T15:32:00+00:00,,,53.750511,-2.730829,Male,10-17,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2017-07-05T15:32:00+00:00,,,53.750511,-2.730829,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2017-07-05T15:32:00+00:00,,,53.750511,-2.730829,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2017-07-05T15:32:00+00:00,,,53.750511,-2.730829,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2017-07-05T19:15:00+00:00,,,53.818786,-3.055318,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False
Person search,2017-07-05T19:15:00+00:00,,,53.818786,-3.055318,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False
Person search,2017-07-05T19:30:00+00:00,,,53.743949,-2.482322,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,True,False
Person search,2017-07-05T20:32:00+00:00,,,54.046727,-2.799019,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
Person search,2017-07-05T22:15:00+00:00,,,53.791754,-2.233439,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,False,False
Person search,2017-07-05T22:17:00+00:00,,,53.817001,-3.052858,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2017-07-06T00:00:00+00:00,,,53.745613,-2.475245,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person and Vehicle search,2017-07-06T02:03:00+00:00,,,53.873285,-2.394365,Male,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person and Vehicle search,2017-07-06T02:05:00+00:00,,,53.873285,-2.394365,Male,18-24,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Community resolution,False,False
Person search,2017-07-06T12:10:00+00:00,,,53.736240,-2.486024,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,2017-07-06T14:15:00+00:00,,,54.060939,-2.797275,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Stolen goods,Community resolution,True,False
Person search,2017-07-06T15:00:00+00:00,,,53.800113,-2.312375,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2017-07-06T15:05:00+00:00,,,53.800113,-2.312375,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2017-07-06T22:34:00+00:00,,,53.804098,-2.231382,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Stolen goods,A no further action disposal,,False
Person search,2017-07-07T08:54:00+00:00,,,53.818786,-3.055318,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2017-07-07T11:30:00+00:00,,,53.746755,-2.367856,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2017-07-07T14:30:00+00:00,,,53.796893,-3.030264,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person search,2017-07-07T15:05:00+00:00,,,54.065747,-2.805465,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False
Person search,2017-07-07T15:05:00+00:00,,,54.058469,-2.788871,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2017-07-07T15:05:00+00:00,,,54.065747,-2.805465,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2017-07-07T17:15:00+00:00,,,53.809637,-3.047009,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,True
Vehicle search,2017-07-07T18:45:00+00:00,,,53.853216,-2.185501,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,,
Person and Vehicle search,2017-07-07T19:13:00+00:00,,,53.749195,-2.433887,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2017-07-07T22:40:00+00:00,,,53.820576,-3.052173,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2017-07-07T22:50:00+00:00,,,53.654328,-2.634372,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2017-07-07T23:50:00+00:00,,,53.820576,-3.052173,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Arrest,False,False
Person search,2017-07-08T00:25:00+00:00,,,53.820576,-3.052173,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2017-07-08T04:30:00+00:00,,,53.753530,-2.475683,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,True
Person search,2017-07-08T04:30:00+00:00,,,53.753530,-2.475683,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person and Vehicle search,2017-07-08T19:45:00+00:00,,,53.574297,-2.887112,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False
Person and Vehicle search,2017-07-08T19:50:00+00:00,,,53.782913,-2.683677,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
