Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2a756658e16843fa1c272af157321894d537e0197f90eb8891a2f7bfa380be89,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
f58e0a2af97d223572bbae90130c8c2404432dae51757853d3c3659d1c91ea47,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.283212,52.635382,On or near DERBY STREET,E01026824,Norwich 007C,Investigation complete; no suspect identified
e2fb95889c56cee999a2cce7eb02d65bec78cef885748c65099ee1ce9a38e9b4,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.283212,52.635382,On or near DERBY STREET,E01026824,Norwich 007C,Investigation complete; no suspect identified
bb6e40800344bb6896f8229949b40e9dc181aef91fb3333db56e16085434fd22,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.278811,52.625952,On or near Sports/Recreation Area,E01026835,Norwich 009A,Investigation complete; no suspect identified
cd83ab6d53438a709675f5932ed8c64b123c8713aa1ad2c49b1c4b59d838a996,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.188735,52.653217,On or near ERNEST GAGE AVENUE,E01033538,South Norfolk 001G,Investigation complete; no suspect identified
370ec504a3a02132cf93be0542ae8f5b05997b069cff45cd4c9a82e0c285eec1,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.280769,52.625053,On or near ESSEX STREET,E01026856,Norwich 011E,Investigation complete; no suspect identified
f18bc4ec9af4e49cf6da4bcd663e367818accc9876b9b169aae5f2b087ef6f89,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.802045,52.586687,On or near OLD HALL CLOSE,E01026437,Breckland 008A,Investigation complete; no suspect identified
dfa57ddf817458e429f18659c53ee8b3dfefda42dd0d240cf16f51f604d80599,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.710203,52.551383,On or near SIDEGATE ROAD,E01026588,Great Yarmouth 013D,Investigation complete; no suspect identified
e6e336dd694aa4893b868cd7646fdc2852d43ce7400f2fcf7f338b986e2060d2,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.572785,52.886128,On or near FRING ROAD,E01026703,King's Lynn and West Norfolk 003F,Investigation complete; no suspect identified
7682ef8d43b69b76bf23a7bfee0522b78cdd739d7c036a250e00f2c770de7b7a,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.303686,52.400137,On or near PARKLANDS WAY,E01026902,South Norfolk 013D,Investigation complete; no suspect identified
5dd1339cef87754e58047a9ccbb1a0f71647c5a48b3a7634cadea17c1187203b,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.748030,52.416537,On or near CLAXTON CLOSE,E01026465,Breckland 015A,Investigation complete; no suspect identified
