Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4917f8dcca5a6f797626a8fa455083329e20ddde422930348d2b1b5b3abad48d,2017-02,Cleveland Police,Cleveland Police,-1.238539,54.710949,On or near NICHOLSON WAY,E01011954,Hartlepool 001A,Unable to prosecute suspect
7c9ba15c69c6d0644094c6214cec62787a500e35ae47dd47b2836d95ce984536,2017-02,Cleveland Police,Cleveland Police,-1.315634,54.556771,On or near BRUSSELTON COURT,E01012262,Stockton-on-Tees 014A,Unable to prosecute suspect
c95142810fe9c0cd02c6ae634e9368cd39309425e953a07fd430ae23550ff928,2017-02,Cleveland Police,Cleveland Police,-1.246915,54.573699,On or near CALTHORPE COURT,E01012041,Middlesbrough 003F,Unable to prosecute suspect
77ea76a7093745449285bde5555f4622b07195ae66a1e9db1fb737ce2204de9e,2017-02,Cleveland Police,Cleveland Police,-1.250822,54.569041,On or near LONGFORD STREET,E01012037,Middlesbrough 003B,Unable to prosecute suspect
859aada4d4737367b5e0a8206c46843958b954a63feba3a985c53ee8c8f02e8c,2017-02,Cleveland Police,Cleveland Police,-1.231712,54.574394,On or near Park/Open Space,E01012068,Middlesbrough 001A,Unable to prosecute suspect
3fa39222aa5a4bb18c3c56cd9caa94063e5092a51275a362eb426367ac074863,2017-02,Cleveland Police,Cleveland Police,-1.228620,54.686460,On or near WILSON STREET,E01011966,Hartlepool 006B,Local resolution
b9f9dc641deeb9a7d467735cabe7bf889b23de4db7fddeffc255000e0cf38cf4,2017-02,Cleveland Police,Cleveland Police,-1.241595,54.657784,On or near OWTON MANOR LANE,E01011977,Hartlepool 012C,Local resolution
44f9c14ffffd47367f2b13bd98b6298c06f6f0a50fa34e9d00675a992bf2ee29,2017-02,Cleveland Police,Cleveland Police,-1.215581,54.685298,On or near VICTORIA ROAD,E01011999,Hartlepool 007D,Local resolution
206a285ebfa94af0ce54a772ad6dae2abd9adc3fc9c0b8979ee1e99f1fc4c0b2,2017-02,Cleveland Police,Cleveland Police,-1.209224,54.541339,On or near LADGATE LANE,E01012064,Middlesbrough 020C,Local resolution
1cb40b7857f95bbd280a2719b630ea1824e8c0900e0c414f20e2828dba33e397,2017-02,Cleveland Police,Cleveland Police,-1.075437,54.605233,On or near MALHAM GILL,E01012143,Redcar and Cleveland 002C,Local resolution
a37edeafc6a2121d98e444b515ff327dce08d616e22133fdae8b707adaa6722b,2017-02,Cleveland Police,Cleveland Police,-1.314650,54.558284,On or near CHALK CLOSE,E01012262,Stockton-on-Tees 014A,Local resolution
dd7073fb023a194fe5f40b22f1c4ef7b63bab3d8630f0166b49e2c9b316703f7,2017-02,Cleveland Police,Cleveland Police,-1.358584,54.585666,On or near DAWDON CLOSE,E01032543,Stockton-on-Tees 009G,Local resolution
b1aab96bed20acb05756ddb577cd18e4df95c10dc3c3c1c66776aa6705291d3f,2017-02,Cleveland Police,Cleveland Police,-1.166072,54.571479,On or near Sports/Recreation Area,E01033470,Redcar and Cleveland 022G,Local resolution
ce86b782601c9e215f5620cdff576063794df9b3c07701dd31ccff5567f167fd,2017-02,Cleveland Police,Cleveland Police,-1.067750,54.619158,On or near BANK STREET,E01012100,Redcar and Cleveland 001A,Local resolution
8a0bf4c0ad60b3df0d58592e4cf2dea47edc9ab39dff2b759c48c46629557c61,2017-02,Cleveland Police,Cleveland Police,-1.233122,54.637690,On or near HILL VIEW,E01011968,Hartlepool 014D,Local resolution
