Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e8fcbcde5771d7c7fd76f83039f5873183b84faa35ac641bbf7f6c3d77f049a0,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.143331,52.061170,On or near GAYE STREET,E01030024,Ipswich 006C,Investigation complete; no suspect identified
fa445813e66988ed836411abd079a2a290d2763e290013d740d8d85e56e4827f,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.449591,52.272672,On or near MILL HILL,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
42f6fa12261dfb007d6dcdffee25692f3844da5db24802658834a7022ebe5817,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.407539,52.244120,On or near PALACE STREET,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
18392d126b9ac9692183860683cce9a93491c8fc6945a9c0112d4fbb247fad2b,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.626547,52.441970,On or near BURY ROAD,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
315fb53bf617fe2e3823e36a7678053ea53f45ebad9173ededbabe7f43cf98d8,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.435460,52.084012,On or near FRANCIS CLOSE,E01030112,St Edmundsbury 012D,Investigation complete; no suspect identified
ac482e6b4b4770fecc488319bc0e40554a2f35bef8d7e23f489e420d3db62178,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.142500,52.074062,On or near WHARFEDALE ROAD,E01029977,Ipswich 002E,Investigation complete; no suspect identified
41da99c0f966086bd83deeaa63aab5d1ce8e3f70f782f2dcc676f0aa0ea7d54b,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.408193,52.246463,On or near FRED ARCHER WAY,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
cf95f84a96f90e08e0ef0c1b9c48e271b8ee9d04f6297adcf3e3de110049d683,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.186888,52.032100,On or near WINDERMERE CLOSE,E01029981,Ipswich 016D,Investigation complete; no suspect identified
79ac2b621852ad2695d349ba0a6228fb9f0f359c772d67f88efe8f5a2d4ccf5d,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.145714,52.060620,On or near Supermarket,E01030024,Ipswich 006C,Investigation complete; no suspect identified
da46eb32a663fecb67796ffc9580ece4d7b3d193e9aead2842c21fa9f8e4743d,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.154222,52.047190,On or near STATION STREET,E01029968,Ipswich 012A,Investigation complete; no suspect identified
b226a701883f734ac83b2c696bb4f0a93b25c53cda1e29b16d74423754cbc896,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.958434,52.050590,On or near CHURCHILL AVENUE,E01029893,Babergh 004B,Investigation complete; no suspect identified
53cdc15e544560d8c41399a900741e9e51da978d6676ca1b8aa191d1630decf6,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.363319,52.248917,On or near Petrol Station,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
f36b666d37cd5e75230d46eadbbc8f6fa551acbc0edc64173ce8143d43480fdf,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.729769,52.039574,On or near GAOL LANE,E01029920,Babergh 007H,Investigation complete; no suspect identified
60879411a77ebb8e631af6201da0d56c88f30dd22272142ce82d0c7f9c64e192,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.516227,52.347945,On or near HANMER AVENUE,E01029938,Forest Heath 004A,Investigation complete; no suspect identified
