Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b054b42a80b57ca5d018b79e04d3cbc630fa1af0531d3141123813340e2a601e,2016-12,Cleveland Police,Cleveland Police,-0.989034,54.553441,On or near CLEVELAND VIEW,E01012164,Redcar and Cleveland 012C,Investigation complete; no suspect identified
e5673c6279cdd8d633474408e6d2eb8720bd3ba85704d1c256b576d8be203e77,2016-12,Cleveland Police,Cleveland Police,-1.207375,54.520315,On or near THE PASTURES,E01012032,Middlesbrough 019C,Investigation complete; no suspect identified
e7c6bb4df181d7d4ae2b17b347c6c37e3d4c0694cd6c6bc86cec77aa6dc15826,2016-12,Cleveland Police,Cleveland Police,-1.239192,54.577263,On or near Hill Street Shopping Centre,E01033468,Middlesbrough 001G,Investigation complete; no suspect identified
19531637823e5f6186f6ed6cf2565e00713046b6d92474c386167145a44ea8c8,2016-12,Cleveland Police,Cleveland Police,-1.241501,54.570394,On or near ALBANY STREET,E01012039,Middlesbrough 003D,Investigation complete; no suspect identified
f3803b6696e1bd424a274e92d091d39cdc98162b12d24f8f91daa583f9946448,2016-12,Cleveland Police,Cleveland Police,-1.154429,54.564541,On or near WORDSWORTH ROAD,E01012168,Redcar and Cleveland 022C,Investigation complete; no suspect identified
d72013b5c4f8473a051824d396100872d9859e6cfc82edee7e98187a9179ed43,2016-12,Cleveland Police,Cleveland Police,-1.215392,54.525211,On or near Supermarket,E01012030,Middlesbrough 019A,Investigation complete; no suspect identified
96b2645ceeb48485d714854bcf704c57bd127258370ecb302011b74b07823245,2016-12,Cleveland Police,Cleveland Police,-1.156964,54.560110,On or near ORCHARD GROVE,E01012173,Redcar and Cleveland 022E,Investigation complete; no suspect identified
c8774712eda4d4f2514e4349acc639dc214b4022000afb22929b336692afedda,2016-12,Cleveland Police,Cleveland Police,-1.043911,54.604835,On or near BEVERLEY ROAD,E01012185,Redcar and Cleveland 004F,Investigation complete; no suspect identified
f2f41df5f2dede161541fa3b53eba1ea02f7f5235787b5bce897d22151818e07,2016-12,Cleveland Police,Cleveland Police,-1.295707,54.552936,On or near ERIC AVENUE,E01012289,Stockton-on-Tees 017D,Investigation complete; no suspect identified
11c362a705ce3ef3561ba699ac5b97328cf1087f6359c4b2eae1975b1c3ae658,2016-12,Cleveland Police,Cleveland Police,-1.196301,54.568152,On or near NORTHFLEET AVENUE,E01012061,Middlesbrough 002D,Investigation complete; no suspect identified
704596770831e3794ad6249877b1a73fe8b90d76ffb2c61666ec35970893b95b,2016-12,Cleveland Police,Cleveland Police,-1.207775,54.686272,On or near STATION APPROACH,E01012000,Hartlepool 007E,Investigation complete; no suspect identified
b7fcccab195c8a92d554a5e7f8a2a3910055a862d4912e5cad05f4030aacab17,2016-12,Cleveland Police,Cleveland Police,-1.190866,54.662183,On or near BOLTON GROVE,E01011996,Hartlepool 011B,Investigation complete; no suspect identified
a50b9aa98f09c1e4c3602f0fc8469dff2c616fc7ad99a2446733201f30d42b23,2016-12,Cleveland Police,Cleveland Police,-0.903063,54.533351,On or near MOORSHOLM LANE,E01012137,Redcar and Cleveland 016C,Investigation complete; no suspect identified
c7c66d770f36d3f5399894da5e5bf15ea1d198526535f1b2eecc08a251899c3b,2016-12,Cleveland Police,Cleveland Police,-1.233199,54.575922,On or near Nightclub,E01012068,Middlesbrough 001A,Investigation complete; no suspect identified
c04ab498b9ca12fc089630908d508cb2df6d519d2984522b55ac7056c269f8c0,2016-12,Cleveland Police,Cleveland Police,-1.229599,54.569114,On or near VICTORIA ROAD,E01012093,Middlesbrough 001E,Investigation complete; no suspect identified
833df20ff5637393a475b4edcc17f77138fae927cc98e78ca8b8579bfc1b6cab,2016-12,Cleveland Police,Cleveland Police,-1.357075,54.520277,On or near ABBEYFIELD DRIVE,E01012201,Stockton-on-Tees 021C,Investigation complete; no suspect identified
bb02a39654235db1f6663560e20e9fa573ab36105f1fabfc6e2b0b773b369624,2016-12,Cleveland Police,Cleveland Police,-0.964933,54.561191,On or near FOUNTAINS COURT,E01012165,Redcar and Cleveland 012D,Investigation complete; no suspect identified
e4ad5c98e8e1bf4f9af2350f49d9288e5e2e06097ab0889f0139fcd8a231bef3,2016-12,Cleveland Police,Cleveland Police,-1.214807,54.706906,On or near Police Station,E01011992,Hartlepool 002D,Investigation complete; no suspect identified
aa82bbbe09a1ba575959b42bfa2062f8b2bce819b2cb8fd58659bdfdfa61bd9c,2016-12,Cleveland Police,Cleveland Police,-1.170184,54.568605,On or near BRUNSWICK AVENUE,E01012167,Redcar and Cleveland 022B,Investigation complete; no suspect identified
ec64eb94538ea22feac0b6c6fe201062d69d7152c860234496cc445b4040793e,2016-12,Cleveland Police,Cleveland Police,-1.299814,54.552349,On or near STAINSBY STREET,E01012286,Stockton-on-Tees 017A,Investigation complete; no suspect identified
2975ecbe40c39b7706ce9d3cc116bb6a5af91a277f91b7094039796888eb1a0b,2016-12,Cleveland Police,Cleveland Police,-1.288676,54.606044,On or near Parking Area,E01012197,Stockton-on-Tees 002A,Investigation complete; no suspect identified
9271f7705858adc42c95e1d9e2a4a046c01420c57dd3078ce16bbea58150e1ef,2016-12,Cleveland Police,Cleveland Police,-1.331738,54.561067,On or near NURSERY LANE,E01012218,Stockton-on-Tees 016C,Investigation complete; no suspect identified
607078766fbb921a2757f109add350b2f0ef12b055bce2162d282ec08a3604d5,2016-12,Cleveland Police,Cleveland Police,-1.217718,54.677412,On or near THE MALTINGS,E01011950,Hartlepool 008A,Investigation complete; no suspect identified
38e52ae6033b6e8605c1ec351b6dfa573722598bda04dd5624a0a079419c2a69,2016-12,Cleveland Police,Cleveland Police,-1.308203,54.591985,On or near BEACONSFIELD ROAD,E01012261,Stockton-on-Tees 007D,Investigation complete; no suspect identified
8c1275f84cc4d1a1ab85222bbe2b0fa86f4ecffd7e38bd68bdf8747e1580225b,2016-12,Cleveland Police,Cleveland Police,-1.299002,54.554627,On or near Supermarket,E01012286,Stockton-on-Tees 017A,Investigation complete; no suspect identified
867d636808e8437a4251143d42f1c5d3c04e9d22043aacae58c12872749150b5,2016-12,Cleveland Police,Cleveland Police,-1.059847,54.595829,On or near WHEATLANDS PARK,E01012130,Redcar and Cleveland 005D,Investigation complete; no suspect identified
a11a8541c659d75d2f899bb254fdf8400a5e4a1b8431e3e93e65e9096a1a565f,2016-12,Cleveland Police,Cleveland Police,-1.182334,54.561965,On or near ALCONBURY WAY,E01012091,Middlesbrough 007F,Investigation complete; no suspect identified
10526d8af20bb91f44382728675d4a2e03c0efc7e81df7f1d7444e9e0d4028a7,2016-12,Cleveland Police,Cleveland Police,-1.230171,54.570781,On or near THISTLE STREET,E01012068,Middlesbrough 001A,Investigation complete; no suspect identified
3199ae2bbf26216a15ebc33cb9d0710215d528df4a0abe711bf449e948ef9473,2016-12,Cleveland Police,Cleveland Police,-1.177976,54.557199,On or near GLENTWORTH AVENUE,E01012016,Middlesbrough 007B,Investigation complete; no suspect identified
9016226c1fd505c2942ef8d7caf3c650f0ce5c875d8d3327381818a827b33641,2016-12,Cleveland Police,Cleveland Police,-1.293969,54.551470,On or near BELVEDERE ROAD,E01012289,Stockton-on-Tees 017D,Investigation complete; no suspect identified
7a6b733fdc8419b3f9b6cc27b789c3cbf8a1389e3a451da9827099f07a474191,2016-12,Cleveland Police,Cleveland Police,-1.297091,54.540793,On or near ST MARGARETS GROVE,E01012291,Stockton-on-Tees 019B,Investigation complete; no suspect identified
631a653d187a8d720fe84906fbc68df51d8164d966778c2f7c988a2b47d97b3b,2016-12,Cleveland Police,Cleveland Police,-1.240953,54.574920,On or near Parking Area,E01033468,Middlesbrough 001G,Investigation complete; no suspect identified
8012afdc0485ba102b6cbc7b290319662007f9cb0d66761a2c28ffac6859953b,2016-12,Cleveland Police,Cleveland Police,-1.228411,54.702365,On or near University Hospital of Hartlepool,E01011952,Hartlepool 002A,Investigation complete; no suspect identified
e8c39fc1a75013c83dcbe03aaa0dee87d023acb162420ad5fdce820627c14b11,2016-12,Cleveland Police,Cleveland Police,-1.182625,54.521911,On or near DIXONS BANK,E01012071,Middlesbrough 020D,Investigation complete; no suspect identified
54841f2e600ca8dd5c958f2385ddb673c8ca8e8af6f02e3987e8b75a9d2bfd96,2016-12,Cleveland Police,Cleveland Police,-1.258471,54.546387,On or near Petrol Station,E01012010,Middlesbrough 012D,Investigation complete; no suspect identified
ebdfb18a7579eee756dc5d0e77cdf7a9e393475fc244388dae93b59fccbacb15,2016-12,Cleveland Police,Cleveland Police,-1.246844,54.525546,On or near NEWHAVEN CLOSE,E01012042,Middlesbrough 018A,Investigation complete; no suspect identified
76fb3bc2ae4d527b1abe6f386b9e71eb8952eb393fa6fbdef9c8fe582dce7186,2016-12,Cleveland Police,Cleveland Police,-0.972226,54.584818,On or near AMBER STREET,E01012159,Redcar and Cleveland 007B,Investigation complete; no suspect identified
47becc8bf1c9ec4d286da29adffd3a88acfc09d31b7afa8c36002f45796a5ac0,2016-12,Cleveland Police,Cleveland Police,-1.150159,54.577992,On or near WESTCROFT ROAD,E01012114,Redcar and Cleveland 009B,Investigation complete; no suspect identified
5d4058aeec34f07809619874c68b8a651c2eaa2660571a9ae22dea8349ede8ae,2016-12,Cleveland Police,Cleveland Police,-1.247111,54.598360,On or near TEES STREET,E01012198,Stockton-on-Tees 003B,Investigation complete; no suspect identified
39ca58948a2b918fbe9b6e8e047e76db0c8c3829b048e0aadc0a0aba0234f761,2016-12,Cleveland Police,Cleveland Police,-1.289933,54.592499,On or near KESWICK ROAD,E01012278,Stockton-on-Tees 004A,Investigation complete; no suspect identified
c07b0a88167951915049e3c877392ea0cca44994a3e01856f3c5323399e8eecd,2016-12,Cleveland Police,Cleveland Police,-1.208804,54.561494,On or near WESTERDALE ROAD,E01012074,Middlesbrough 004A,Investigation complete; no suspect identified
7ff4295d4debe6f7dccbf1c2107b32bfa75e1ec350c9a104615fa71ffdf98d80,2016-12,Cleveland Police,Cleveland Police,-1.198262,54.560436,On or near KIMBERLEY DRIVE,E01012075,Middlesbrough 004B,Investigation complete; no suspect identified
768e0f3c9e16a4a0b1b56e9f813a1afdce16580e2f0e4251066e1d53fcec6dbf,2016-12,Cleveland Police,Cleveland Police,-1.347913,54.518377,On or near CARRADALE CLOSE,E01012199,Stockton-on-Tees 021A,Investigation complete; no suspect identified
708985481fe2fa5bc64cbedbcff16185b50a17f2806858671f55f397fc787752,2016-12,Cleveland Police,Cleveland Police,-1.298957,54.555444,On or near CRANWORTH STREET,E01012287,Stockton-on-Tees 017B,Investigation complete; no suspect identified
43a22f28d1919731a5fcabd09c65b66322cbb0792dec064af14e3e11493c5e8f,2016-12,Cleveland Police,Cleveland Police,-1.160164,54.566945,On or near Sports/Recreation Area,E01012168,Redcar and Cleveland 022C,Investigation complete; no suspect identified
27b02082d681a644232f3678f0e91540c5d60038f468b81c6e28e2a88585e842,2016-12,Cleveland Police,Cleveland Police,-1.220873,54.553825,On or near MARSDEN CLOSE,E01012018,Middlesbrough 011A,Investigation complete; no suspect identified
7e3b1f69d944dbac8db6c3c690b2bc56c51d1c54a97010ad5ceafd622b0365e5,2016-12,Cleveland Police,Cleveland Police,-1.262166,54.522369,On or near STRAIT LANE,E01032553,Middlesbrough 018H,Investigation complete; no suspect identified
5b2dbb764b4ff193c5f753d6c840be54f3a44bea56d8c59e2d9b308e48a6164e,2016-12,Cleveland Police,Cleveland Police,-1.317918,54.521779,On or near KENWOOD CRESCENT,E01033474,Stockton-on-Tees 023F,Investigation complete; no suspect identified
612d4570d9132f68d96471f70ff130d4d1e67fdc22a0b62bc6eee04525534c99,2016-12,Cleveland Police,Cleveland Police,-1.206285,54.570150,On or near NORCLIFFE STREET,E01012058,Middlesbrough 002A,Investigation complete; no suspect identified
2efb81072e39358c1ec9424784d585611c18c29db4ae2e79ea2c90c75362ed69,2016-12,Cleveland Police,Cleveland Police,-1.225534,54.565718,On or near NEWSTEAD ROAD,E01012094,Middlesbrough 001F,Investigation complete; no suspect identified
054c4ce0639683343b3e6b962ecd8370e6d3d8ec28fd72e017953d080682031c,2016-12,Cleveland Police,Cleveland Police,-1.327794,54.588374,On or near SALTNEY ROAD,E01012213,Stockton-on-Tees 006D,Investigation complete; no suspect identified
59fc2685ae41b48afcc1dde90db6d4b8e723fa81ea8f687bd8bbc4daeb722e86,2016-12,Cleveland Police,Cleveland Police,-1.222621,54.563543,On or near NUT LANE,E01012026,Middlesbrough 006A,Investigation complete; no suspect identified
b2499cf6ee06fa164b53590594f9235c27b454fc55351cf8d00733a1942f26ac,2016-12,Cleveland Police,Cleveland Police,-1.248445,54.534273,On or near HARBORNE GARDENS,E01012046,Middlesbrough 013A,Investigation complete; no suspect identified
c602855b23d13eaa5790ae55cce82316f8e5b175d506387886d8a3ce9cef4c38,2016-12,Cleveland Police,Cleveland Police,-1.306506,54.551614,On or near CHURCH CLOSE,E01012287,Stockton-on-Tees 017B,Investigation complete; no suspect identified
2d053fa51d22f219d2e7074194886fdc599116da0b5f852b633e538f36cb4273,2016-12,Cleveland Police,Cleveland Police,-1.235068,54.668545,On or near TYNEBROOKE AVENUE,E01011981,Hartlepool 009C,Investigation complete; no suspect identified
1777a759a80f34116ba7190b2aa11aef5874e8190a263af87a3fda6b2a293d24,2016-12,Cleveland Police,Cleveland Police,-1.139495,54.570862,On or near ULLSWATER CLOSE,E01012113,Redcar and Cleveland 009A,Investigation complete; no suspect identified
b1f1f2671f930a14c22d0270c468815162ae4cd8ed6bc6b42d21d67b36520cdf,2016-12,Cleveland Police,Cleveland Police,-1.249656,54.657726,On or near MACRAE ROAD,E01011962,Hartlepool 012B,Investigation complete; no suspect identified
ab058ee5f12d98dd5e67f68b88c00a7a92b434db8f09c0b285aa1a27d10d6fff,2016-12,Cleveland Police,Cleveland Police,-1.347333,54.531558,On or near DUNOTTAR AVENUE,E01012270,Stockton-on-Tees 021F,Investigation complete; no suspect identified
b6c28bb69a3301d4409f73c969eea5af3fddbbd35238afd210b62529bb31a839,2016-12,Cleveland Police,Cleveland Police,-1.325511,54.556062,On or near ROKER TERRACE,E01012264,Stockton-on-Tees 014C,Investigation complete; no suspect identified
821964e8fe3a4cd5da7c66abbd0fb48e1b09d1a290f3f909b38e3cdf3c73e55d,2016-12,Cleveland Police,Cleveland Police,-1.324044,54.585873,On or near Supermarket,E01012193,Stockton-on-Tees 007B,Investigation complete; no suspect identified
f552c88d2ff04d2039eafe3a023591cf6997c551e1d6a542311983e04799ed06,2016-12,Cleveland Police,Cleveland Police,-1.239120,54.577811,On or near Parking Area,E01033468,Middlesbrough 001G,Investigation complete; no suspect identified
993a8f08f8c1ee476c93d28911d5d78b8782552438525986ea6097bf73db685a,2016-12,Cleveland Police,Cleveland Police,-1.226949,54.664989,On or near BRIERTON LANE,E01011988,Hartlepool 010B,Investigation complete; no suspect identified
97c75a05da027a5d4fb0d0ab4ebde5c7fae34784bb94b7d3f38648264ba5793d,2016-12,Cleveland Police,Cleveland Police,-1.337357,54.561646,On or near OXBRIDGE LANE,E01012209,Stockton-on-Tees 016A,Investigation complete; no suspect identified
cd7d79167f7bf93e00789533e93dfd07ec34b66f569ef85578555dfbbc3d2adc,2016-12,Cleveland Police,Cleveland Police,-1.234290,54.689300,On or near NORTH DRIVE,E01011966,Hartlepool 006B,Investigation complete; no suspect identified
dd6ad89af59cb1c73ae19f3a87507be9afe88b23ef186206d0c0682151e37371,2016-12,Cleveland Police,Cleveland Police,-1.319885,54.564254,On or near FAGG STREET,E01012267,Stockton-on-Tees 014F,Investigation complete; no suspect identified
e4c9f3b8f4fa3c30ced2064401d982910188b698c9f8ae65364dc7920e215bdf,2016-12,Cleveland Police,Cleveland Police,-1.190479,54.660554,On or near ALLENDALE STREET,E01011996,Hartlepool 011B,Investigation complete; no suspect identified
f43b83a703099445f4d71fefa0250c5cf0001e675cdbac9abbed5ab507f2ee31,2016-12,Cleveland Police,Cleveland Police,-1.285140,54.571899,On or near Supermarket,E01012266,Stockton-on-Tees 014E,Investigation complete; no suspect identified
688b760d242f3dcd6a51f284539581d648ec31fa933d01cd15f4768047633f62,2016-12,Cleveland Police,Cleveland Police,-1.320976,54.568421,On or near BRITANNIA ROAD,E01012254,Stockton-on-Tees 012E,Investigation complete; no suspect identified
354e797b1f756621cc017a0bdafd3817abcdcb565675f1ab297be9f23cc25868,2016-12,Cleveland Police,Cleveland Police,-1.166072,54.571479,On or near Sports/Recreation Area,E01033470,Redcar and Cleveland 022G,Investigation complete; no suspect identified
16215e41d121abaeb749df45ee0b58081d1d52c296bfab44daf0ee0c724956fc,2016-12,Cleveland Police,Cleveland Police,-1.327530,54.554555,On or near DEVONSHIRE STREET,E01012264,Stockton-on-Tees 014C,Investigation complete; no suspect identified
5d1a0074546446df3d4ff31cfefd532a7838afba3bf3e2301745b36223f749ec,2016-12,Cleveland Police,Cleveland Police,-1.311901,54.514870,On or near ICKWORTH COURT,E01012227,Stockton-on-Tees 023A,Investigation complete; no suspect identified
28227a83042cc8561a8b0baeaffb5c3bb8b7b539b6066870575b90ccc1b179fc,2016-12,Cleveland Police,Cleveland Police,-1.185217,54.567844,On or near BARRAS GROVE,E01012060,Middlesbrough 002C,Investigation complete; no suspect identified
b4021e563904cd2469a871987726d191e084d0000666b29937ceb213e2897c69,2016-12,Cleveland Police,Cleveland Police,-1.254911,54.524607,On or near CAWTHORN CLOSE,E01032552,Middlesbrough 018G,Investigation complete; no suspect identified
2a36cce955938acd0bf812dca9f3ab926d8d97aaf146e796c2b6e0371b33bf1c,2016-12,Cleveland Police,Cleveland Police,-1.179274,54.558790,On or near GREENHAM CLOSE,E01012091,Middlesbrough 007F,Investigation complete; no suspect identified
af2255a0c4ac39c444dc6a71b8698cbe649bc51ff4a6852467733d36b0dcd7b9,2016-12,Cleveland Police,Cleveland Police,-1.240915,54.524439,On or near CRESSWELL CLOSE,E01012044,Middlesbrough 018C,Investigation complete; no suspect identified
c2e60d536d8b00497f26a0332e6cd6e7b17347d8d6bc749c01096ee7e20da6e7,2016-12,Cleveland Police,Cleveland Police,-1.247918,54.562948,On or near ADDISON ROAD,E01012056,Middlesbrough 009D,Investigation complete; no suspect identified
a6d556ce652cdf751322703435e723313458decaad1740099015ba28b1488725,2016-12,Cleveland Police,Cleveland Police,-1.177643,54.558392,On or near RODMELL CLOSE,E01012091,Middlesbrough 007F,Investigation complete; no suspect identified
2211286f1008b66fba150e266dccb79f493647c8fe5b4b7fdaf20816af6f1023,2016-12,Cleveland Police,Cleveland Police,-1.147362,54.551182,On or near SEDGEMOOR ROAD,E01012112,Redcar and Cleveland 015A,Investigation complete; no suspect identified
