Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
836574ffc57d13b5b1ce1c8a86f499ff53f39719754ad6a97e6de13b991cc352,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.666479,52.095881,On or near ANGEL LANE,E01029884,Babergh 002B,Investigation complete; no suspect identified
7082fa50f638e890dea118dbd35c6edde065b3127bb0ad33c6d482d8cb6da941,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.128738,52.065534,On or near BAYSWATER CLOSE,E01030026,Ipswich 006E,Investigation complete; no suspect identified
237b0c329dc700d2725f76a7876a0ec90fe13afb5dfc9051c8981f774d7b35f4,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.055447,51.974795,On or near MISSION LANE,E01029883,Babergh 010D,Investigation complete; no suspect identified
fa05ef172c0793cbe454ef8c6b5f8ae684c6c8452e5e560fbccd3066bb2e3108,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.385879,52.113835,On or near CHURCH LANE,E01033446,Suffolk Coastal 007H,Investigation complete; no suspect identified
34a507058e01a09e7bc327e6cd4941cecd7fe716d62cdb912e215439ca2d2921,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.055447,51.974795,On or near MISSION LANE,E01029883,Babergh 010D,Investigation complete; no suspect identified
b3492b36e917f09c70c9700ded0b62ae81648af0147974a43fd2262020260687,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.739049,52.050627,On or near GRENVILLE ROAD,E01029914,Babergh 007C,Investigation complete; no suspect identified
c8d3a82d0a45c52481a73ad7ad69355a26b4c8d26eeb6fe135ed1b13c0da5ac4,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.157506,51.987427,On or near DENMARK GARDENS,E01029897,Babergh 011D,Investigation complete; no suspect identified
273c69ddbfa46a08e8e031ea41783b03be67fd47ab0231455147cdb48b9dbf30,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.313752,52.035837,On or near MILL ROAD,E01030198,Suffolk Coastal 010F,Investigation complete; no suspect identified
c92ff8429b528b8f814d0f32a583e2d20573e185da63938b2e916656d37e94e8,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.449667,52.452474,On or near BECCLES ROAD,E01030230,Waveney 013A,Investigation complete; no suspect identified
08addde78d836e0d0f56e7cb041400319a0ab43fe81d1305a3255ac7de9aec29,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.175984,52.054564,On or near WELLESLEY ROAD,E01029961,Ipswich 007D,Investigation complete; no suspect identified
554e38ccdebc13fb382a5a5b1f9894babc3c04b2d8749691f9fe5bd484ba9dc1,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.121658,52.069886,On or near SHAFTO ROAD,E01030030,Ipswich 003D,Investigation complete; no suspect identified
424708e59a7154c6ba540a9ca8d690dd41021138427add4b8e7172be304c7647,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.694403,52.242630,On or near HIGHBURY ROAD,E01030123,St Edmundsbury 007B,Investigation complete; no suspect identified
