Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
64322aa33b1329f78a9a3f7018dd7679de509fbb76de740cf6cbaf47967bdde1,2017-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
71bceb3f267120f493500e4686c936a129df248264d9de6ff20535c83d111d93,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.720125,52.446462,On or near COOKE ROAD,E01030253,Waveney 012D,Investigation complete; no suspect identified
639d1a521d0a5b7930e215ea75c895fdb180f09b67897745d32162c85ba69d1a,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.745461,52.469704,On or near CLEVELAND ROAD,E01030258,Waveney 007D,Investigation complete; no suspect identified
803d547720560fadf9bed00cb9d69054f4c9daa58cff5d5826421a68b10a938f,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.521022,52.347086,On or near BUNGAY ROAD,E01030229,Waveney 015A,Investigation complete; no suspect identified
01e36ce3331f10f4f8909953b2dbaebb18a86e331d478a0870adcfa4f264e275,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.440185,52.082601,On or near Parking Area,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
76bd1b5f24d62e3377c7b8c070862e8d61e8c1566265630e93d4deea818c5ced,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.756334,52.032381,On or near REDE WAY,E01029889,Babergh 008D,Investigation complete; no suspect identified
3c4b03a3b4f1b9a0bf43e6b23574c24f3a34220328e19f5213821e53e2dfa4bf,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.740630,52.481497,On or near ROTTERDAM ROAD,E01030261,Waveney 002A,Investigation complete; no suspect identified
5bb032edc01772802c1575ad82c4a892abec51cdfc51b55f5ab26124b52bdabf,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.998982,52.189081,On or near Nightclub,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
8486f158c11dd38bb726550dd6988d6d2a60b27b43f654bd7a6eaa7307d8b9a1,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.626547,52.441970,On or near BURY ROAD,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
f2998b1d0b96dd9376a3a1710bc08561bf9972711bf427a1fc5f8973085a103d,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.390619,52.254194,On or near Supermarket,E01029952,Forest Heath 008E,Investigation complete; no suspect identified
86d31ea834310482a2f3b13e87b7953fb9f1cd28806a54100d343aef9a8f10b6,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.172973,52.051812,On or near CAVENDISH STREET,E01033123,Ipswich 011E,Investigation complete; no suspect identified
4d3d69afbc8fe0e610e38bc43cc39d43f3cf83a61be6152ca7477fb2b81bd6c0,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.160183,52.052696,On or near WHERRY QUAY,E01033124,Ipswich 007F,Investigation complete; no suspect identified
a763732fa93d289e1a1e6acf89421fa4fab31a313845d5efe99e5089e86a383b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.664590,52.339460,On or near THE CRESCENTS,E01030284,Waveney 014C,Investigation complete; no suspect identified
2a1d7aad5aedbe30a2a150d4870eff1d1bfaf7e1b8efbd67157f32061cb5c3e2,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.646189,52.393790,On or near Park/Open Space,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
a44ffbbc66875c0f129bae88440b7ff3ffa7c4285e8ed1296f5cc4040faefb4b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.148007,52.047995,On or near BELSTEAD AVENUE,E01029968,Ipswich 012A,Investigation complete; no suspect identified
4d44e59858d4ec1e2db81418701cefe30a516871569b54319b8d2603de00502f,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.184038,52.069124,On or near SHETLAND CLOSE,E01030001,Ipswich 004E,Investigation complete; no suspect identified
c91cdb59f91fdf9ed34e52a29d84c4bb1a3442163183f47da49cfccc5e3a221c,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.521285,52.349348,On or near CLARE CLOSE,E01029938,Forest Heath 004A,Investigation complete; no suspect identified
343fab719a56dc81eae4dba016a4f97f765eac246ef34a73830be5a6868bc315,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.709506,52.473879,On or near Parking Area,E01030289,Waveney 005D,Investigation complete; no suspect identified
eadfce07078d89920903393d8bcc66a9ccc8d8b57208521b6b80d4bbaa4f23a7,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.167775,52.057520,On or near LANCASTER ROAD,E01029962,Ipswich 007E,Investigation complete; no suspect identified
403e9613e74613b2102bd144b83c0d1280b6126ea01d82f2f4e23d2daae5e689,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.152112,52.057814,On or near Nightclub,E01033125,Ipswich 007G,Investigation complete; no suspect identified
4152c054b9af048bf52fef562160b3208b8fc4b7f7ccdb2aa336552d01703ed1,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.746447,52.480260,On or near CROWN MEADOW WALK,E01030261,Waveney 002A,Investigation complete; no suspect identified
bb00e87b8b3369e089c1b7a4a7258167ddf8be6f32de0ad2cea6229a82537cf5,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.430325,52.080314,On or near CLEMENTS DRIVE,E01030115,St Edmundsbury 013A,Investigation complete; no suspect identified
ae8cd7ee3bc32a3b639c458d1209f64e1bea4120b6236cd8308d7ab38d5c6ef9,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.712620,52.244668,On or near ABBEYGATE STREET,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
9a5f9ba4d41ad9dc6d9397ca6ebc395d83aa559d6683ceb5541d7e7a67304ebd,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.140002,52.065297,On or near NORWICH ROAD,E01030022,Ipswich 006A,Investigation complete; no suspect identified
