Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ff6a36cf83cb4b6a86f779799ba711aeefe9c040cee106c3a7785b6fea504970,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.525493,52.274097,On or near Parking Area,E01030222,Suffolk Coastal 001C,Investigation complete; no suspect identified
8bab74ff033f9c88006637fe3899f46542b95e577c85876498eb18ae9e815f93,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.491056,52.217296,On or near NORTH ENTRANCE,E01030209,Suffolk Coastal 003C,Investigation complete; no suspect identified
f2fe42395e6309c4396ed6c21d0d87b5c433e97d821dd128b009b1db776b4d42,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.492079,52.215404,On or near MARKET PLACE,E01030209,Suffolk Coastal 003C,Investigation complete; no suspect identified
dea1e3fa5210ef75ea45aea06facc93abbf5679ced84ee0f11073d54a178bb2c,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.146182,52.063747,On or near ANGLESEA ROAD,E01030025,Ipswich 006D,Investigation complete; no suspect identified
245491faebd9d3be157e489446ee49025699a12f97380e3f4df208369c5538db,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.724172,52.077969,On or near MIDDLE WAY,E01029900,Babergh 003A,Investigation complete; no suspect identified
3235a8054ada5552c8fad5d0d070aecd3e1e537d5c14ffbe247ab0be6ac473e6,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.708977,52.153096,On or near MELFORD ROAD,E01029881,Babergh 002A,Investigation complete; no suspect identified
78b79010bf8c5ff2439dd377a4113c163f421e533607ac0a6ad421e3ed73f49d,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.143667,52.053705,On or near RUSSELL ROAD,E01029985,Ipswich 010B,Investigation complete; no suspect identified
0fa386158cb6fdc752b3397925d5a17055c7c69d0fd531c034805cd115f781d4,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.788391,52.068354,On or near Park/Open Space,E01029922,Babergh 006C,Investigation complete; no suspect identified
c2618dfcf639ecb6d51f731a666537bbe17c3c8d07fbf78d3c4c10a57f71a36a,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.751822,52.474702,On or near BON MARCHE,E01030250,Waveney 004D,Investigation complete; no suspect identified
88dca9b262eeabecd08c73b1f4bed7408028ec1603e07c60ba6956d37d4277b0,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.566419,52.447272,On or near FORBES DRIVE,E01030228,Waveney 010E,Investigation complete; no suspect identified
a523dcbc075467efebd2eb69cd478cc5e6c978867b1ee9988314e67759a8c96b,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.734505,52.039994,On or near MINDEN ROAD,E01029912,Babergh 007A,Investigation complete; no suspect identified
d945769d666dcd0bc0a9bab10d34a0edcf4eeeea486e883277386415c3782b56,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.236511,52.304990,On or near THE STREET,E01030058,Mid Suffolk 001B,Investigation complete; no suspect identified
555ff8070f07a0577939d4a60cfd59d13aeba62e278de8377971c0b27a632137,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.707739,52.247523,On or near RISBYGATE STREET,E01033043,St Edmundsbury 006E,Investigation complete; no suspect identified
