Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6653353cefb86ba26a81d5df6a8513291933adefc9a222750821010b70cd3f64,2018-01,Warwickshire Police,Warwickshire Police,-1.666309,52.265311,On or near CHURCH ROAD,E01031267,Warwick 014C,Investigation complete; no suspect identified
5f40369f3ac4c195a10a223b9c457e613d0394ece93fcb52ff2c1d0d82e73338,2018-01,Warwickshire Police,Warwickshire Police,-1.262874,52.371700,On or near Supermarket,E01031145,Rugby 009C,Investigation complete; no suspect identified
361baf9e511135ba1590e29be7aa31fbdd887f10deb690d6686cbd01a3c58547,2018-01,Warwickshire Police,Warwickshire Police,-1.317782,52.248376,On or near FELL'S LANE,E01031224,Stratford-on-Avon 004F,Investigation complete; no suspect identified
acddb863e21df31c6d653fb4477d30eb6a0c471d8218aa4c2a10c5746b544347,2018-01,Warwickshire Police,Warwickshire Police,-1.512162,52.303784,On or near SEVERN CLOSE,E01031275,Warwick 006C,Investigation complete; no suspect identified
578ad81f4cc1d70d73fee6637c3257c16fee326b571e8a5171d9b1bdff12e30c,2018-01,Warwickshire Police,Warwickshire Police,-1.474998,52.520629,On or near BRACEBRIDGE STREET,E01031047,Nuneaton and Bedworth 005E,Investigation complete; no suspect identified
3759fe50046f4d01d86daf85fa88b723014ce25146e440e7c8a3ea72d41a2edb,2018-01,Warwickshire Police,Warwickshire Police,-1.264267,52.373641,On or near Parking Area,E01031173,Rugby 003C,Investigation complete; no suspect identified
fe47facfe99602859438fb11fa8511a03727c9367d50bc3edf4f531e69bfb6cd,2018-01,Warwickshire Police,Warwickshire Police,-1.241524,52.361046,On or near OVAL ROAD,E01031155,Rugby 008A,Investigation complete; no suspect identified
d390f1e7ca5ccd53813677caa53db7fbf8d94ac650e1049903be2c5b5a3edb68,2018-01,Warwickshire Police,Warwickshire Police,-1.679711,52.196823,On or near Sports/Recreation Area,E01031227,Stratford-on-Avon 010C,Investigation complete; no suspect identified
5efb861629aacf8c48b597bea79e85c6fcb339f5cc568ae6ce9b444f98981fc4,2018-01,Warwickshire Police,Warwickshire Police,-1.583541,52.366243,On or near HOLLIS LANE,E01031254,Warwick 001A,Investigation complete; no suspect identified
cddaafa9f04f163ba77da26395f72a5cbf08ef80375ffa2fe94222ec7468099c,2018-01,Warwickshire Police,Warwickshire Police,-1.526068,52.274694,On or near SOUTHWAY,E01031264,Warwick 013D,Investigation complete; no suspect identified
914278a1b458f49d45a22c9caafbefa2e6a41f8c99ec4bd628e99fe802e06095,2018-01,Warwickshire Police,Warwickshire Police,-1.856723,52.165156,On or near Parking Area,E01031192,Stratford-on-Avon 012D,Investigation complete; no suspect identified
4821cb944fb7a48f4f72ffe17b1fa9d33be4b44b65e4d69a1ae9c0dceb9b8be5,2018-01,Warwickshire Police,Warwickshire Police,-1.502021,52.218054,On or near Petrol Station,E01031199,Stratford-on-Avon 005C,Investigation complete; no suspect identified
555191b0e0de16a53d8de2263054875534ffb0fc49cf4c21ad7e8ef632a08ded,2018-01,Warwickshire Police,Warwickshire Police,-1.380783,52.200893,On or near BANBURY ROAD,E01031197,Stratford-on-Avon 005A,Investigation complete; no suspect identified
95949e837c91849239489c4c1cad76bcd3bd929beb75948e31d9a926fe5250fb,2018-01,Warwickshire Police,Warwickshire Police,-1.706127,52.193269,On or near UNION STREET,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
45b7b2192bb504338f6045214cabd0d0f99420a49ca3255212e37d26a265b368,2018-01,Warwickshire Police,Warwickshire Police,-1.694145,52.186972,On or near HUNTS ROAD,E01031225,Stratford-on-Avon 010A,Investigation complete; no suspect identified
d885fe7fb89dadd8ae7d71a154324fead49d1c55835d26ca5dcb030f2e3df293,2018-01,Warwickshire Police,Warwickshire Police,-1.216263,52.362050,On or near SCHOOL STREET,E01031161,Rugby 010A,Investigation complete; no suspect identified
9207341b3e01fdea6e1b8019b641c6633c70d5dd19eb716cbf6d5edad2760db1,2018-01,Warwickshire Police,Warwickshire Police,-1.549774,52.246440,On or near THE LEES,E01031260,Warwick 014B,Investigation complete; no suspect identified
076b8a62b60f4bde316c9aa8530ca57c6894f8b34e53530f6610b1dba117b84b,2018-01,Warwickshire Police,Warwickshire Police,-1.532761,52.545198,On or near OLDBURY ROAD,E01031029,North Warwickshire 005E,Investigation complete; no suspect identified
15180b87d56a9d5b98af811ce669da537c947a99cfc34820ac94549123c9b90c,2018-01,Warwickshire Police,Warwickshire Police,-1.467744,52.522134,On or near COVENTRY STREET,E01031043,Nuneaton and Bedworth 005A,Investigation complete; no suspect identified
10e3272f4c76ab0d2a292398b311a83ae4c09540b4041b024921ffa6cbe73d78,2018-01,Warwickshire Police,Warwickshire Police,-1.473609,52.481471,On or near Supermarket,E01031064,Nuneaton and Bedworth 013C,Investigation complete; no suspect identified
2ed4297234f8ff6c626916aa692201ff650f2e73c8c41cd0986e81f0c413b27b,2018-01,Warwickshire Police,Warwickshire Police,-1.360682,52.493870,On or near MOAT LANE,E01031182,Rugby 001E,Investigation complete; no suspect identified
44e80ef9f8cdaeb17f92c75f65ab95a523c61827cf79e8ccbde88ac1a48e061e,2018-01,Warwickshire Police,Warwickshire Police,-1.284103,52.366930,On or near PARK FARM CLOSE,E01031168,Rugby 006B,Investigation complete; no suspect identified
19e8fc86a41f94e53d0fd8134803a2f907e30c6aea129df43f8f7fe0f0ed947a,2018-01,Warwickshire Police,Warwickshire Police,-1.707261,52.501303,On or near Petrol Station,E01031021,North Warwickshire 006C,Investigation complete; no suspect identified
62991f5962b49063cdba59268e667ef595209c4427b0b1c49f8b843a48acb41f,2018-01,Warwickshire Police,Warwickshire Police,-1.725651,52.184766,On or near ASCOT CLOSE,E01031232,Stratford-on-Avon 011A,Investigation complete; no suspect identified
3d3f23c684224cef1f3c09b9e3f9d54223a33f69be147845241581ecf9ecea7f,2018-01,Warwickshire Police,Warwickshire Police,-1.573946,52.337664,On or near WARWICK ROAD,E01031303,Warwick 003A,Investigation complete; no suspect identified
65efb8bee723081d5b59e0f7173bc4b4e6463ce9a265d581eaf5197fe3f0fca0,2018-01,Warwickshire Police,Warwickshire Police,-1.244351,52.401880,On or near Supermarket,E01032891,Rugby 001F,Investigation complete; no suspect identified
e4795b6257ba085401b8ff89ffaef9e06f40ae8f560cf4a926155940585f8bbb,2018-01,Warwickshire Police,Warwickshire Police,-1.518337,52.537283,On or near VICTORIA ROAD,E01031084,Nuneaton and Bedworth 004D,Investigation complete; no suspect identified
a1b2d41c02558967bcdb5b6d52e2742b7fc8dd7f7fb4bd7f58494103d05af7bb,2018-01,Warwickshire Police,Warwickshire Police,-1.710932,52.201381,On or near Shopping Area,E01031231,Stratford-on-Avon 009D,Investigation complete; no suspect identified
9bbd5f88f407f5be1137b770e24587926b44026ee687efbf6850b9efa6b38ac0,2018-01,Warwickshire Police,Warwickshire Police,-1.475368,52.527994,On or near Parking Area,E01031044,Nuneaton and Bedworth 005B,Investigation complete; no suspect identified
891af5e12e99edcf0cbe743aeb9ab373372f1a2d234fdb0e6e6a1bb462d40fc7,2018-01,Warwickshire Police,Warwickshire Police,-1.469240,52.521476,On or near Shopping Area,E01031043,Nuneaton and Bedworth 005A,Investigation complete; no suspect identified
1a8cf9b76da9d6287815594c980ac1326faa352dceb0a4108924b8eff4c6ec8a,2018-01,Warwickshire Police,Warwickshire Police,-1.519460,52.547905,On or near NUNEATON ROAD,E01031030,North Warwickshire 005F,Investigation complete; no suspect identified
0ae610c5baf70e1a82d9084ec5bfd600e10512710906e20af57f3cd5b8259727,2018-01,Warwickshire Police,Warwickshire Police,-1.674987,52.553018,On or near COVENTRY ROAD,E01031031,North Warwickshire 002D,Investigation complete; no suspect identified
fc976bde1dc64fee5be2da718349b0589c90f15939c90ef6eb6768fc135d6707,2018-01,Warwickshire Police,Warwickshire Police,-1.526027,52.262035,On or near ARMSTRONG CLOSE,E01031331,Warwick 015E,Investigation complete; no suspect identified
8c2ba6bbf217841c53fb960772a9c0e95a718d6671e0903efd82d86b1785ff61,2018-01,Warwickshire Police,Warwickshire Police,-1.256499,52.372604,On or near WILLIAM STREET,E01031132,Rugby 005C,Investigation complete; no suspect identified
214e9f6c5a934b64567b853153806d37ed51f7f37a47fe7848c13dfd09a13422,2018-01,Warwickshire Police,Warwickshire Police,-1.567790,52.290155,On or near ALL SAINTS ROAD,E01031311,Warwick 008C,Investigation complete; no suspect identified
4a9b4f4a3363f8775e00dc1c844fcd6ad5e88334ef695eb360fbd5f977a27b6c,2018-01,Warwickshire Police,Warwickshire Police,-1.246771,52.373720,On or near WINDSOR STREET,E01031133,Rugby 005D,Investigation complete; no suspect identified
